millis,stamp,datetime,light,temp,vcc
998, 1455710972, "2016/2/17 12:9:32", 583, 69.04, 1.93
1999, 1455710973, "2016/2/17 12:9:33", 583, 69.04, 1.93
2999, 1455710974, "2016/2/17 12:9:34", 584, 69.04, 1.93
3999, 1455710975, "2016/2/17 12:9:35", 583, 69.04, 1.93
5000, 1455710976, "2016/2/17 12:9:36", 583, 68.46, 1.93
5998, 1455710977, "2016/2/17 12:9:37", 583, 69.04, 1.93
6999, 1455710978, "2016/2/17 12:9:38", 583, 69.04, 1.93
7999, 1455710979, "2016/2/17 12:9:39", 583, 69.04, 1.93
8999, 1455710980, "2016/2/17 12:9:40", 583, 69.04, 1.93
9999, 1455710981, "2016/2/17 12:9:41", 583, 69.04, 1.93
10998, 1455710982, "2016/2/17 12:9:42", 583, 69.04, 1.93
12000, 1455710983, "2016/2/17 12:9:43", 583, 69.04, 1.93
12999, 1455710984, "2016/2/17 12:9:44", 583, 69.04, 1.93
13999, 1455710985, "2016/2/17 12:9:45", 583, 69.04, 1.93
14999, 1455710986, "2016/2/17 12:9:46", 583, 69.04, 1.93
16000, 1455710987, "2016/2/17 12:9:47", 584, 69.04, 1.93
16999, 1455710988, "2016/2/17 12:9:48", 583, 69.04, 1.93
17998, 1455710989, "2016/2/17 12:9:49", 583, 69.04, 1.93
18999, 1455710990, "2016/2/17 12:9:50", 583, 69.04, 1.93
19999, 1455710991, "2016/2/17 12:9:51", 583, 69.04, 1.93
21000, 1455710992, "2016/2/17 12:9:52", 583, 69.04, 1.93
21999, 1455710993, "2016/2/17 12:9:53", 583, 69.04, 1.93
23000, 1455710994, "2016/2/17 12:9:54", 583, 69.04, 1.93
23999, 1455710995, "2016/2/17 12:9:55", 583, 69.04, 1.93
24999, 1455710996, "2016/2/17 12:9:56", 583, 69.04, 1.93
25999, 1455710997, "2016/2/17 12:9:57", 583, 69.04, 1.93
26999, 1455710998, "2016/2/17 12:9:58", 583, 69.04, 1.93
28000, 1455710999, "2016/2/17 12:9:59", 583, 69.04, 1.93
28999, 1455711000, "2016/2/17 12:10:0", 583, 69.04, 1.93
30000, 1455711001, "2016/2/17 12:10:1", 583, 69.04, 1.93
30999, 1455711002, "2016/2/17 12:10:2", 583, 69.04, 1.93
32000, 1455711003, "2016/2/17 12:10:3", 583, 69.04, 1.93
32999, 1455711004, "2016/2/17 12:10:4", 583, 68.46, 1.93
33999, 1455711005, "2016/2/17 12:10:5", 583, 69.04, 1.93
34999, 1455711006, "2016/2/17 12:10:6", 583, 69.04, 1.93
35999, 1455711007, "2016/2/17 12:10:7", 583, 68.46, 1.93
37000, 1455711008, "2016/2/17 12:10:8", 583, 69.04, 1.93
37999, 1455711009, "2016/2/17 12:10:9", 583, 69.04, 1.93
39000, 1455711010, "2016/2/17 12:10:10", 583, 68.46, 1.93
39999, 1455711011, "2016/2/17 12:10:11", 583, 68.46, 1.93
40998, 1455711012, "2016/2/17 12:10:12", 583, 68.46, 1.93
41999, 1455711013, "2016/2/17 12:10:13", 583, 69.04, 1.93
42998, 1455711014, "2016/2/17 12:10:14", 584, 68.46, 1.93
43999, 1455711015, "2016/2/17 12:10:15", 583, 68.46, 1.93
44998, 1455711016, "2016/2/17 12:10:16", 583, 68.46, 1.93
45999, 1455711017, "2016/2/17 12:10:17", 583, 69.04, 1.93
46999, 1455711018, "2016/2/17 12:10:18", 583, 69.04, 1.93
48000, 1455711019, "2016/2/17 12:10:19", 583, 68.46, 1.93
48999, 1455711020, "2016/2/17 12:10:20", 583, 68.46, 1.93
49999, 1455711021, "2016/2/17 12:10:21", 583, 69.04, 1.93
50999, 1455711022, "2016/2/17 12:10:22", 583, 69.04, 1.93
51999, 1455711023, "2016/2/17 12:10:23", 583, 69.04, 1.93
53000, 1455711024, "2016/2/17 12:10:24", 583, 68.46, 1.93
53999, 1455711025, "2016/2/17 12:10:25", 583, 69.04, 1.93
55000, 1455711026, "2016/2/17 12:10:26", 578, 69.04, 1.95
55999, 1455711027, "2016/2/17 12:10:27", 578, 69.04, 1.95
56998, 1455711028, "2016/2/17 12:10:28", 578, 69.04, 1.95
57998, 1455711029, "2016/2/17 12:10:29", 578, 68.46, 1.95
58998, 1455711030, "2016/2/17 12:10:30", 577, 69.04, 1.95
60000, 1455711031, "2016/2/17 12:10:31", 577, 69.04, 1.95
60999, 1455711032, "2016/2/17 12:10:32", 577, 69.04, 1.95
61999, 1455711033, "2016/2/17 12:10:33", 577, 69.04, 1.95
62999, 1455711034, "2016/2/17 12:10:34", 578, 69.04, 1.95
63998, 1455711035, "2016/2/17 12:10:35", 578, 69.04, 1.95
64998, 1455711036, "2016/2/17 12:10:36", 576, 69.04, 1.96
65998, 1455711037, "2016/2/17 12:10:37", 575, 68.46, 1.96
66999, 1455711038, "2016/2/17 12:10:38", 574, 68.46, 1.96
67999, 1455711039, "2016/2/17 12:10:39", 573, 68.46, 1.97
69000, 1455711040, "2016/2/17 12:10:40", 573, 68.46, 1.97
69999, 1455711041, "2016/2/17 12:10:41", 573, 68.46, 1.97
71000, 1455711042, "2016/2/17 12:10:42", 573, 68.46, 1.97
71998, 1455711043, "2016/2/17 12:10:43", 574, 68.46, 1.96
72999, 1455711044, "2016/2/17 12:10:44", 573, 68.46, 1.97
73999, 1455711045, "2016/2/17 12:10:45", 573, 68.46, 1.97
74999, 1455711046, "2016/2/17 12:10:46", 575, 68.46, 1.96
75999, 1455711047, "2016/2/17 12:10:47", 576, 68.46, 1.96
76999, 1455711048, "2016/2/17 12:10:48", 581, 68.46, 1.94
78000, 1455711049, "2016/2/17 12:10:49", 576, 67.88, 1.96
78999, 1455711050, "2016/2/17 12:10:50", 576, 67.88, 1.96
80000, 1455711051, "2016/2/17 12:10:51", 579, 68.46, 1.95
80999, 1455711052, "2016/2/17 12:10:52", 576, 68.46, 1.96
81999, 1455711053, "2016/2/17 12:10:53", 575, 69.04, 1.96
82999, 1455711054, "2016/2/17 12:10:54", 575, 69.62, 1.96
83999, 1455711055, "2016/2/17 12:10:55", 570, 69.62, 1.98
85000, 1455711056, "2016/2/17 12:10:56", 570, 69.04, 1.98
85999, 1455711057, "2016/2/17 12:10:57", 569, 69.04, 1.98
87000, 1455711058, "2016/2/17 12:10:58", 571, 69.04, 1.97
88000, 1455711059, "2016/2/17 12:10:59", 579, 69.04, 1.95
88998, 1455711060, "2016/2/17 12:11:0", 579, 69.04, 1.95
89999, 1455711061, "2016/2/17 12:11:1", 580, 69.04, 1.94
90999, 1455711062, "2016/2/17 12:11:2", 579, 68.46, 1.95
91999, 1455711063, "2016/2/17 12:11:3", 577, 68.46, 1.95
92998, 1455711064, "2016/2/17 12:11:4", 577, 69.04, 1.95
93999, 1455711065, "2016/2/17 12:11:5", 576, 69.04, 1.96
94999, 1455711066, "2016/2/17 12:11:6", 576, 69.04, 1.96
96000, 1455711067, "2016/2/17 12:11:7", 579, 68.46, 1.95
96999, 1455711068, "2016/2/17 12:11:8", 578, 69.04, 1.95
97999, 1455711069, "2016/2/17 12:11:9", 579, 69.04, 1.95
98999, 1455711070, "2016/2/17 12:11:10", 579, 69.04, 1.95
99999, 1455711071, "2016/2/17 12:11:11", 580, 69.04, 1.94
101000, 1455711072, "2016/2/17 12:11:12", 578, 69.04, 1.95
101999, 1455711073, "2016/2/17 12:11:13", 577, 69.04, 1.95
103000, 1455711074, "2016/2/17 12:11:14", 577, 69.04, 1.95
103999, 1455711075, "2016/2/17 12:11:15", 577, 69.04, 1.95
104999, 1455711076, "2016/2/17 12:11:16", 577, 68.46, 1.95
105999, 1455711077, "2016/2/17 12:11:17", 576, 68.46, 1.96
106998, 1455711078, "2016/2/17 12:11:18", 576, 69.04, 1.96
108000, 1455711079, "2016/2/17 12:11:19", 575, 69.04, 1.96
108999, 1455711080, "2016/2/17 12:11:20", 577, 69.04, 1.95
110000, 1455711081, "2016/2/17 12:11:21", 578, 68.46, 1.95
110998, 1455711082, "2016/2/17 12:11:22", 577, 69.04, 1.95
112000, 1455711083, "2016/2/17 12:11:23", 576, 69.04, 1.96
112999, 1455711084, "2016/2/17 12:11:24", 578, 69.04, 1.95
113999, 1455711085, "2016/2/17 12:11:25", 579, 69.04, 1.95
115000, 1455711086, "2016/2/17 12:11:26", 577, 68.46, 1.95
115998, 1455711087, "2016/2/17 12:11:27", 577, 69.04, 1.95
116999, 1455711088, "2016/2/17 12:11:28", 577, 68.46, 1.95
117999, 1455711089, "2016/2/17 12:11:29", 576, 68.46, 1.95
119000, 1455711090, "2016/2/17 12:11:30", 577, 68.46, 1.95
119999, 1455711091, "2016/2/17 12:11:31", 577, 69.04, 1.95
120999, 1455711092, "2016/2/17 12:11:32", 577, 68.46, 1.95
121999, 1455711093, "2016/2/17 12:11:33", 577, 68.46, 1.95
122999, 1455711094, "2016/2/17 12:11:34", 577, 68.46, 1.95
124000, 1455711095, "2016/2/17 12:11:35", 578, 69.04, 1.95
124999, 1455711096, "2016/2/17 12:11:36", 578, 69.04, 1.95
126000, 1455711097, "2016/2/17 12:11:37", 579, 69.04, 1.95
126999, 1455711098, "2016/2/17 12:11:38", 579, 69.04, 1.95
127998, 1455711099, "2016/2/17 12:11:39", 578, 69.04, 1.95
128999, 1455711100, "2016/2/17 12:11:40", 579, 69.04, 1.95
129999, 1455711101, "2016/2/17 12:11:41", 581, 69.04, 1.94
130999, 1455711102, "2016/2/17 12:11:42", 577, 69.04, 1.95
131999, 1455711103, "2016/2/17 12:11:43", 577, 68.46, 1.95
133000, 1455711104, "2016/2/17 12:11:44", 577, 69.04, 1.95
133999, 1455711105, "2016/2/17 12:11:45", 577, 68.46, 1.95
135000, 1455711106, "2016/2/17 12:11:46", 577, 69.04, 1.95
135999, 1455711107, "2016/2/17 12:11:47", 577, 69.04, 1.95
136998, 1455711108, "2016/2/17 12:11:48", 578, 68.46, 1.95
137999, 1455711109, "2016/2/17 12:11:49", 578, 69.04, 1.95
138999, 1455711110, "2016/2/17 12:11:50", 578, 69.04, 1.95
139999, 1455711111, "2016/2/17 12:11:51", 578, 69.04, 1.95
140998, 1455711112, "2016/2/17 12:11:52", 579, 69.04, 1.95
142000, 1455711113, "2016/2/17 12:11:53", 578, 69.04, 1.95
142999, 1455711114, "2016/2/17 12:11:54", 576, 69.62, 1.96
144000, 1455711115, "2016/2/17 12:11:55", 576, 69.04, 1.96
144999, 1455711116, "2016/2/17 12:11:56", 579, 69.04, 1.95
145999, 1455711117, "2016/2/17 12:11:57", 577, 69.04, 1.95
146999, 1455711118, "2016/2/17 12:11:58", 577, 69.04, 1.95
147999, 1455711119, "2016/2/17 12:11:59", 577, 69.04, 1.95
148999, 1455711120, "2016/2/17 12:12:0", 577, 69.04, 1.95
149998, 1455711121, "2016/2/17 12:12:1", 578, 69.62, 1.95
151000, 1455711122, "2016/2/17 12:12:2", 577, 69.04, 1.95
152000, 1455711123, "2016/2/17 12:12:3", 578, 69.04, 1.95
152999, 1455711124, "2016/2/17 12:12:4", 578, 69.62, 1.95
154000, 1455711125, "2016/2/17 12:12:5", 578, 69.04, 1.95
154999, 1455711126, "2016/2/17 12:12:6", 578, 69.62, 1.95
155999, 1455711127, "2016/2/17 12:12:7", 578, 69.04, 1.95
156999, 1455711128, "2016/2/17 12:12:8", 578, 69.04, 1.95
157999, 1455711129, "2016/2/17 12:12:9", 578, 69.04, 1.95
158999, 1455711130, "2016/2/17 12:12:10", 579, 69.04, 1.95
160000, 1455711131, "2016/2/17 12:12:11", 579, 69.04, 1.95
160999, 1455711132, "2016/2/17 12:12:12", 579, 69.04, 1.95
161999, 1455711133, "2016/2/17 12:12:13", 579, 69.62, 1.95
162999, 1455711134, "2016/2/17 12:12:14", 579, 69.04, 1.95
163999, 1455711135, "2016/2/17 12:12:15", 578, 69.04, 1.95
165000, 1455711136, "2016/2/17 12:12:16", 579, 69.04, 1.95
165999, 1455711137, "2016/2/17 12:12:17", 578, 69.04, 1.95
167000, 1455711138, "2016/2/17 12:12:18", 578, 69.04, 1.95
167999, 1455711139, "2016/2/17 12:12:19", 576, 69.04, 1.96
168999, 1455711140, "2016/2/17 12:12:20", 577, 69.04, 1.95
169999, 1455711141, "2016/2/17 12:12:21", 578, 68.46, 1.95
170999, 1455711142, "2016/2/17 12:12:22", 578, 69.04, 1.95
171999, 1455711143, "2016/2/17 12:12:23", 578, 69.04, 1.95
