millis,stamp,datetime,light,temp,vcc
998, 1455738054, 2016/2/17 19:40:54, 774, 21.54, 1.45
1998, 1455738055, 2016/2/17 19:40:55, 778, 21.54, 1.46
2999, 1455738056, 2016/2/17 19:40:56, 779, 21.54, 1.45
3999, 1455738057, 2016/2/17 19:40:57, 778, 21.22, 1.45
4999, 1455738058, 2016/2/17 19:40:58, 779, 21.54, 1.45
5998, 1455738059, 2016/2/17 19:40:59, 775, 21.22, 1.45
7000, 1455738060, 2016/2/17 19:41:0, 775, 21.22, 1.45
7999, 1455738061, 2016/2/17 19:41:1, 776, 21.54, 1.45
8998, 1455738062, 2016/2/17 19:41:2, 777, 21.54, 1.45
9999, 1455738063, 2016/2/17 19:41:3, 779, 21.54, 1.45
10999, 1455738064, 2016/2/17 19:41:4, 779, 21.54, 1.46
11999, 1455738065, 2016/2/17 19:41:5, 774, 21.54, 1.45
12999, 1455738066, 2016/2/17 19:41:6, 772, 21.54, 1.45
14000, 1455738067, 2016/2/17 19:41:7, 775, 21.54, 1.45
14999, 1455738068, 2016/2/17 19:41:8, 775, 21.54, 1.45
15998, 1455738069, 2016/2/17 19:41:9, 773, 21.54, 1.45
16998, 1455738070, 2016/2/17 19:41:10, 775, 21.87, 1.46
17999, 1455738071, 2016/2/17 19:41:11, 774, 20.58, 1.46
18999, 1455738072, 2016/2/17 19:41:12, 774, 19.93, 1.45
19999, 1455738073, 2016/2/17 19:41:13, 776, 19.93, 1.45
21000, 1455738074, 2016/2/17 19:41:14, 775, 19.93, 1.46
21999, 1455738075, 2016/2/17 19:41:15, 776, 19.93, 1.46
23000, 1455738076, 2016/2/17 19:41:16, 773, 19.61, 1.45
23999, 1455738077, 2016/2/17 19:41:17, 777, 19.93, 1.46
24999, 1455738078, 2016/2/17 19:41:18, 776, 19.61, 1.45
25999, 1455738079, 2016/2/17 19:41:19, 775, 20.25, 1.45
26999, 1455738080, 2016/2/17 19:41:20, 774, 21.87, 1.46
27999, 1455738081, 2016/2/17 19:41:21, 730, 22.19, 1.53
28999, 1455738082, 2016/2/17 19:41:22, 732, 22.51, 1.53
29999, 1455738083, 2016/2/17 19:41:23, 730, 22.19, 1.54
30999, 1455738084, 2016/2/17 19:41:24, 735, 22.51, 1.55
32000, 1455738085, 2016/2/17 19:41:25, 697, 22.19, 1.63
32999, 1455738086, 2016/2/17 19:41:26, 508, 22.51, 2.23
33998, 1455738087, 2016/2/17 19:41:27, 487, 22.51, 2.30
34999, 1455738088, 2016/2/17 19:41:28, 531, 22.51, 2.16
35999, 1455738089, 2016/2/17 19:41:29, 762, 22.83, 1.49
36999, 1455738090, 2016/2/17 19:41:30, 732, 22.83, 1.53
37999, 1455738091, 2016/2/17 19:41:31, 677, 22.51, 1.61
38999, 1455738092, 2016/2/17 19:41:32, 720, 22.51, 1.56
39999, 1455738093, 2016/2/17 19:41:33, 712, 22.51, 1.59
40999, 1455738094, 2016/2/17 19:41:34, 731, 22.83, 1.56
41999, 1455738095, 2016/2/17 19:41:35, 723, 22.51, 1.57
42998, 1455738096, 2016/2/17 19:41:36, 704, 22.83, 1.60
43999, 1455738097, 2016/2/17 19:41:37, 525, 22.83, 2.16
44999, 1455738098, 2016/2/17 19:41:38, 544, 22.83, 2.06
45999, 1455738099, 2016/2/17 19:41:39, 762, 22.51, 1.47
46999, 1455738100, 2016/2/17 19:41:40, 774, 21.87, 1.45
47998, 1455738101, 2016/2/17 19:41:41, 773, 20.90, 1.45
48999, 1455738102, 2016/2/17 19:41:42, 776, 19.29, 1.46
49999, 1455738103, 2016/2/17 19:41:43, 778, 19.61, 1.46
50999, 1455738104, 2016/2/17 19:41:44, 777, 21.87, 1.46
51999, 1455738105, 2016/2/17 19:41:45, 534, 22.51, 2.21
52999, 1455738106, 2016/2/17 19:41:46, 536, 22.83, 2.09
53998, 1455738107, 2016/2/17 19:41:47, 724, 22.83, 1.56
55000, 1455738108, 2016/2/17 19:41:48, 618, 22.51, 1.81
55998, 1455738109, 2016/2/17 19:41:49, 772, 22.19, 1.46
56999, 1455738110, 2016/2/17 19:41:50, 775, 22.19, 1.46
57999, 1455738111, 2016/2/17 19:41:51, 775, 20.90, 1.46
