millis,stamp,datetime,light,temp,vcc
999, 1455815602, "2016/2/18 17:13:22", 586, 24.77, 1.92
1999, 1455815603, "2016/2/18 17:13:23", 589, 25.09, 1.92
2999, 1455815604, "2016/2/18 17:13:24", 588, 24.77, 1.92
3999, 1455815605, "2016/2/18 17:13:25", 587, 24.77, 1.91
4999, 1455815606, "2016/2/18 17:13:26", 585, 25.09, 1.92
5998, 1455815607, "2016/2/18 17:13:27", 586, 24.77, 1.92
6999, 1455815608, "2016/2/18 17:13:28", 585, 24.77, 1.91
7999, 1455815609, "2016/2/18 17:13:29", 588, 24.77, 1.93
8998, 1455815610, "2016/2/18 17:13:30", 586, 24.77, 1.92
9999, 1455815611, "2016/2/18 17:13:31", 587, 24.77, 1.92
10999, 1455815612, "2016/2/18 17:13:32", 588, 24.77, 1.92
12000, 1455815613, "2016/2/18 17:13:33", 585, 24.77, 1.92
12999, 1455815614, "2016/2/18 17:13:34", 585, 25.09, 1.92
14000, 1455815615, "2016/2/18 17:13:35", 584, 24.77, 1.92
14998, 1455815616, "2016/2/18 17:13:36", 587, 24.77, 1.93
16000, 1455815617, "2016/2/18 17:13:37", 588, 24.77, 1.92
16999, 1455815618, "2016/2/18 17:13:38", 588, 24.77, 1.92
17999, 1455815619, "2016/2/18 17:13:39", 587, 24.77, 1.92
18999, 1455815620, "2016/2/18 17:13:40", 587, 25.09, 1.92
19999, 1455815621, "2016/2/18 17:13:41", 585, 25.09, 1.92
21000, 1455815622, "2016/2/18 17:13:42", 587, 24.77, 1.92
21999, 1455815623, "2016/2/18 17:13:43", 588, 24.77, 1.93
23000, 1455815624, "2016/2/18 17:13:44", 586, 24.77, 1.92
23999, 1455815625, "2016/2/18 17:13:45", 588, 24.77, 1.92
24999, 1455815626, "2016/2/18 17:13:46", 587, 25.09, 1.92
25999, 1455815627, "2016/2/18 17:13:47", 587, 24.77, 1.93
26999, 1455815628, "2016/2/18 17:13:48", 584, 24.77, 1.92
27999, 1455815629, "2016/2/18 17:13:49", 586, 24.77, 1.92
28999, 1455815630, "2016/2/18 17:13:50", 585, 25.09, 1.92
29999, 1455815631, "2016/2/18 17:13:51", 586, 25.09, 1.93
30999, 1455815632, "2016/2/18 17:13:52", 588, 25.09, 1.93
32000, 1455815633, "2016/2/18 17:13:53", 588, 24.77, 1.92
32999, 1455815634, "2016/2/18 17:13:54", 587, 25.09, 1.92
33999, 1455815635, "2016/2/18 17:13:55", 587, 25.09, 1.92
34999, 1455815636, "2016/2/18 17:13:56", 586, 24.77, 1.93
35999, 1455815637, "2016/2/18 17:13:57", 584, 25.09, 1.92
36999, 1455815638, "2016/2/18 17:13:58", 587, 25.09, 1.92
37999, 1455815639, "2016/2/18 17:13:59", 584, 24.77, 1.92
38999, 1455815640, "2016/2/18 17:14:0", 586, 25.09, 1.92
39998, 1455815641, "2016/2/18 17:14:1", 586, 24.77, 1.92
40999, 1455815642, "2016/2/18 17:14:2", 586, 24.77, 1.93
41998, 1455815643, "2016/2/18 17:14:3", 586, 24.77, 1.93
42999, 1455815644, "2016/2/18 17:14:4", 587, 25.09, 1.93
43999, 1455815645, "2016/2/18 17:14:5", 584, 24.77, 1.92
44999, 1455815646, "2016/2/18 17:14:6", 587, 24.77, 1.92
45999, 1455815647, "2016/2/18 17:14:7", 587, 24.77, 1.93
46999, 1455815648, "2016/2/18 17:14:8", 587, 24.77, 1.92
47998, 1455815649, "2016/2/18 17:14:9", 585, 24.77, 1.92
48999, 1455815650, "2016/2/18 17:14:10", 584, 25.09, 1.92
49998, 1455815651, "2016/2/18 17:14:11", 584, 24.77, 1.92
50999, 1455815652, "2016/2/18 17:14:12", 585, 24.77, 1.92
51999, 1455815653, "2016/2/18 17:14:13", 586, 24.77, 1.93
53000, 1455815654, "2016/2/18 17:14:14", 587, 24.77, 1.93
53998, 1455815655, "2016/2/18 17:14:15", 584, 24.77, 1.92
55000, 1455815656, "2016/2/18 17:14:16", 587, 24.77, 1.93
55999, 1455815657, "2016/2/18 17:14:17", 587, 24.77, 1.93
56999, 1455815658, "2016/2/18 17:14:18", 587, 24.77, 1.93
58000, 1455815659, "2016/2/18 17:14:19", 585, 24.77, 1.92
58998, 1455815660, "2016/2/18 17:14:20", 585, 24.77, 1.92
59999, 1455815661, "2016/2/18 17:14:21", 587, 25.09, 1.92
60999, 1455815662, "2016/2/18 17:14:22", 588, 24.77, 1.92
61999, 1455815663, "2016/2/18 17:14:23", 586, 25.09, 1.92
62999, 1455815664, "2016/2/18 17:14:24", 585, 24.77, 1.92
64000, 1455815665, "2016/2/18 17:14:25", 589, 25.09, 1.92
64998, 1455815666, "2016/2/18 17:14:26", 589, 24.77, 1.92
65998, 1455815667, "2016/2/18 17:14:27", 588, 25.09, 1.93
66999, 1455815668, "2016/2/18 17:14:28", 586, 24.77, 1.92
67999, 1455815669, "2016/2/18 17:14:29", 585, 24.77, 1.92
69000, 1455815670, "2016/2/18 17:14:30", 586, 24.77, 1.92
69998, 1455815671, "2016/2/18 17:14:31", 587, 24.77, 1.92
71000, 1455815672, "2016/2/18 17:14:32", 588, 25.09, 1.93
71999, 1455815673, "2016/2/18 17:14:33", 586, 24.77, 1.92
72999, 1455815674, "2016/2/18 17:14:34", 587, 25.09, 1.92
73999, 1455815675, "2016/2/18 17:14:35", 586, 24.77, 1.92
74999, 1455815676, "2016/2/18 17:14:36", 584, 24.77, 1.92
75999, 1455815677, "2016/2/18 17:14:37", 585, 24.77, 1.92
76999, 1455815678, "2016/2/18 17:14:38", 587, 24.77, 1.93
78000, 1455815679, "2016/2/18 17:14:39", 588, 24.77, 1.92
78999, 1455815680, "2016/2/18 17:14:40", 588, 24.77, 1.92
80000, 1455815681, "2016/2/18 17:14:41", 588, 24.77, 1.92
80998, 1455815682, "2016/2/18 17:14:42", 586, 24.77, 1.92
81999, 1455815683, "2016/2/18 17:14:43", 586, 24.77, 1.92
82999, 1455815684, "2016/2/18 17:14:44", 587, 24.77, 1.92
83999, 1455815685, "2016/2/18 17:14:45", 588, 24.77, 1.93
85000, 1455815686, "2016/2/18 17:14:46", 588, 25.09, 1.92
85999, 1455815687, "2016/2/18 17:14:47", 588, 24.77, 1.92
87000, 1455815688, "2016/2/18 17:14:48", 586, 24.77, 1.92
87999, 1455815689, "2016/2/18 17:14:49", 585, 24.77, 1.92
88999, 1455815690, "2016/2/18 17:14:50", 586, 24.77, 1.92
89999, 1455815691, "2016/2/18 17:14:51", 589, 24.77, 1.92
90999, 1455815692, "2016/2/18 17:14:52", 589, 24.77, 1.92
91999, 1455815693, "2016/2/18 17:14:53", 589, 24.77, 1.92
92999, 1455815694, "2016/2/18 17:14:54", 586, 24.77, 1.92
94000, 1455815695, "2016/2/18 17:14:55", 585, 24.77, 1.92
94999, 1455815696, "2016/2/18 17:14:56", 585, 24.77, 1.92
95998, 1455815697, "2016/2/18 17:14:57", 589, 25.09, 1.92
96999, 1455815698, "2016/2/18 17:14:58", 589, 24.77, 1.93
97998, 1455815699, "2016/2/18 17:14:59", 587, 24.77, 1.92
98999, 1455815700, "2016/2/18 17:15:0", 588, 24.77, 1.92
99998, 1455815701, "2016/2/18 17:15:1", 587, 25.09, 1.92
100999, 1455815702, "2016/2/18 17:15:2", 587, 24.77, 1.92
101999, 1455815703, "2016/2/18 17:15:3", 585, 24.77, 1.92
103000, 1455815704, "2016/2/18 17:15:4", 587, 24.77, 1.93
103999, 1455815705, "2016/2/18 17:15:5", 587, 25.09, 1.93
104999, 1455815706, "2016/2/18 17:15:6", 587, 25.09, 1.92
106000, 1455815707, "2016/2/18 17:15:7", 588, 24.77, 1.93
106999, 1455815708, "2016/2/18 17:15:8", 584, 25.09, 1.92
107999, 1455815709, "2016/2/18 17:15:9", 584, 24.77, 1.92
108999, 1455815710, "2016/2/18 17:15:10", 586, 25.09, 1.93
110000, 1455815711, "2016/2/18 17:15:11", 588, 24.77, 1.93
110999, 1455815712, "2016/2/18 17:15:12", 588, 24.77, 1.93
112000, 1455815713, "2016/2/18 17:15:13", 588, 24.77, 1.93
112998, 1455815714, "2016/2/18 17:15:14", 587, 25.09, 1.93
113999, 1455815715, "2016/2/18 17:15:15", 585, 24.77, 1.92
115000, 1455815716, "2016/2/18 17:15:16", 585, 24.77, 1.92
115999, 1455815717, "2016/2/18 17:15:17", 587, 24.77, 1.92
116999, 1455815718, "2016/2/18 17:15:18", 588, 24.77, 1.93
117999, 1455815719, "2016/2/18 17:15:19", 588, 25.09, 1.92
119000, 1455815720, "2016/2/18 17:15:20", 586, 24.77, 1.92
119999, 1455815721, "2016/2/18 17:15:21", 586, 24.77, 1.92
120999, 1455815722, "2016/2/18 17:15:22", 587, 25.09, 1.92
121999, 1455815723, "2016/2/18 17:15:23", 588, 25.09, 1.92
122999, 1455815724, "2016/2/18 17:15:24", 588, 25.09, 1.93
