millis,stamp,datetime,light,temp,vcc
999, 1455737419, "2016/2/17 19:30:19", 773, 21.22, 1.47
1999, 1455737420, "2016/2/17 19:30:20", 767, 21.87, 1.46
2999, 1455737421, "2016/2/17 19:30:21", 768, 21.87, 1.46
3999, 1455737422, "2016/2/17 19:30:22", 771, 21.54, 1.46
4999, 1455737423, "2016/2/17 19:30:23", 772, 21.87, 1.46
5998, 1455737424, "2016/2/17 19:30:24", 773, 21.87, 1.47
6999, 1455737425, "2016/2/17 19:30:25", 772, 21.87, 1.47
7998, 1455737426, "2016/2/17 19:30:26", 772, 21.54, 1.46
8999, 1455737427, "2016/2/17 19:30:27", 772, 21.87, 1.46
9999, 1455737428, "2016/2/17 19:30:28", 767, 21.87, 1.46
10998, 1455737429, "2016/2/17 19:30:29", 769, 21.87, 1.46
11999, 1455737430, "2016/2/17 19:30:30", 771, 21.87, 1.46
12999, 1455737431, "2016/2/17 19:30:31", 773, 21.87, 1.46
14000, 1455737432, "2016/2/17 19:30:32", 771, 21.87, 1.46
14999, 1455737433, "2016/2/17 19:30:33", 770, 21.87, 1.46
16000, 1455737434, "2016/2/17 19:30:34", 771, 21.87, 1.46
16999, 1455737435, "2016/2/17 19:30:35", 766, 21.54, 1.46
17999, 1455737436, "2016/2/17 19:30:36", 771, 21.87, 1.47
18999, 1455737437, "2016/2/17 19:30:37", 766, 21.87, 1.46
19999, 1455737438, "2016/2/17 19:30:38", 773, 21.87, 1.47
20999, 1455737439, "2016/2/17 19:30:39", 773, 21.87, 1.46
21999, 1455737440, "2016/2/17 19:30:40", 771, 21.87, 1.46
23000, 1455737441, "2016/2/17 19:30:41", 769, 21.87, 1.46
23999, 1455737442, "2016/2/17 19:30:42", 768, 21.87, 1.46
24998, 1455737443, "2016/2/17 19:30:43", 770, 21.87, 1.46
25999, 1455737444, "2016/2/17 19:30:44", 768, 21.54, 1.46
26999, 1455737445, "2016/2/17 19:30:45", 772, 21.54, 1.47
27999, 1455737446, "2016/2/17 19:30:46", 771, 21.54, 1.46
28999, 1455737447, "2016/2/17 19:30:47", 772, 21.87, 1.46
30000, 1455737448, "2016/2/17 19:30:48", 770, 21.54, 1.46
30999, 1455737449, "2016/2/17 19:30:49", 769, 21.87, 1.46
32000, 1455737450, "2016/2/17 19:30:50", 771, 21.87, 1.46
32999, 1455737451, "2016/2/17 19:30:51", 768, 21.54, 1.46
33999, 1455737452, "2016/2/17 19:30:52", 772, 21.54, 1.47
34999, 1455737453, "2016/2/17 19:30:53", 767, 21.54, 1.46
35999, 1455737454, "2016/2/17 19:30:54", 772, 21.54, 1.47
37000, 1455737455, "2016/2/17 19:30:55", 772, 21.54, 1.47
37999, 1455737456, "2016/2/17 19:30:56", 769, 21.87, 1.46
39000, 1455737457, "2016/2/17 19:30:57", 766, 21.87, 1.46
39999, 1455737458, "2016/2/17 19:30:58", 766, 21.54, 1.46
40998, 1455737459, "2016/2/17 19:30:59", 768, 21.87, 1.46
41999, 1455737460, "2016/2/17 19:31:0", 771, 21.87, 1.47
42999, 1455737461, "2016/2/17 19:31:1", 772, 21.87, 1.47
43999, 1455737462, "2016/2/17 19:31:2", 772, 21.87, 1.46
44998, 1455737463, "2016/2/17 19:31:3", 771, 21.54, 1.47
46000, 1455737464, "2016/2/17 19:31:4", 769, 21.54, 1.46
46999, 1455737465, "2016/2/17 19:31:5", 768, 21.54, 1.46
47998, 1455737466, "2016/2/17 19:31:6", 770, 21.87, 1.46
48998, 1455737467, "2016/2/17 19:31:7", 768, 21.54, 1.46
49999, 1455737468, "2016/2/17 19:31:8", 772, 21.87, 1.47
50999, 1455737469, "2016/2/17 19:31:9", 773, 21.54, 1.47
51999, 1455737470, "2016/2/17 19:31:10", 771, 21.87, 1.47
52999, 1455737471, "2016/2/17 19:31:11", 771, 21.54, 1.46
53999, 1455737472, "2016/2/17 19:31:12", 772, 21.54, 1.46
55000, 1455737473, "2016/2/17 19:31:13", 768, 21.54, 1.46
55999, 1455737474, "2016/2/17 19:31:14", 769, 21.87, 1.46
56998, 1455737475, "2016/2/17 19:31:15", 768, 21.54, 1.46
57999, 1455737476, "2016/2/17 19:31:16", 772, 21.54, 1.47
58998, 1455737477, "2016/2/17 19:31:17", 773, 21.54, 1.47
59999, 1455737478, "2016/2/17 19:31:18", 772, 21.54, 1.47
60999, 1455737479, "2016/2/17 19:31:19", 772, 21.54, 1.47
61999, 1455737480, "2016/2/17 19:31:20", 767, 21.54, 1.46
62998, 1455737481, "2016/2/17 19:31:21", 772, 21.87, 1.46
64000, 1455737482, "2016/2/17 19:31:22", 769, 21.54, 1.46
64999, 1455737483, "2016/2/17 19:31:23", 770, 21.87, 1.46
65999, 1455737484, "2016/2/17 19:31:24", 773, 21.54, 1.47
66999, 1455737485, "2016/2/17 19:31:25", 773, 21.54, 1.47
67999, 1455737486, "2016/2/17 19:31:26", 772, 21.54, 1.46
68999, 1455737487, "2016/2/17 19:31:27", 771, 21.54, 1.46
69998, 1455737488, "2016/2/17 19:31:28", 772, 21.54, 1.46
70999, 1455737489, "2016/2/17 19:31:29", 766, 21.54, 1.46
72000, 1455737490, "2016/2/17 19:31:30", 766, 21.87, 1.46
72999, 1455737491, "2016/2/17 19:31:31", 771, 21.54, 1.47
73999, 1455737492, "2016/2/17 19:31:32", 772, 21.54, 1.47
74998, 1455737493, "2016/2/17 19:31:33", 770, 21.87, 1.46
75999, 1455737494, "2016/2/17 19:31:34", 772, 21.87, 1.46
76999, 1455737495, "2016/2/17 19:31:35", 770, 21.54, 1.46
78000, 1455737496, "2016/2/17 19:31:36", 767, 21.54, 1.46
78999, 1455737497, "2016/2/17 19:31:37", 767, 21.87, 1.46
80000, 1455737498, "2016/2/17 19:31:38", 767, 21.87, 1.46
80999, 1455737499, "2016/2/17 19:31:39", 770, 21.54, 1.46
81998, 1455737500, "2016/2/17 19:31:40", 772, 21.54, 1.47
